actor_name,movie_title
Joseph Gordon-Levitt,The Dark Knight Rises
Scarlett Johansson,Avengers: Age of Ultron
Scarlett Johansson,The Avengers
Hugh Jackman,X-Men: Days of Future Past
Joseph Gordon-Levitt,Inception
Scarlett Johansson,The Avengers
Scarlett Johansson,The Prestige
Kristen Stewart,What Just Happened
Johnny Depp,Pirates of the Caribbean: At World's End
Tom Hardy,The Dark Knight Rises
Chris Hemsworth,Avengers: Age of Ultron
Kevin Spacey,Superman Returns
Johnny Depp,Pirates of the Caribbean: Dead Man's Chest
Johnny Depp,The Lone Ranger
Chris Hemsworth,The Avengers
Johnny Depp,Pirates of the Caribbean: On Stranger Tides
Leonardo DiCaprio,Titanic
Robert Downey Jr.,Captain America: Civil War
Robert Downey Jr.,Iron Man 3
Johnny Depp,Alice in Wonderland
Hugh Jackman,X-Men: The Last Stand
Christian Bale,Terminator Salvation
Jason Statham,Furious 7
Jennifer Lawrence,X-Men: Days of Future Past
Leonardo DiCaprio,The Great Gatsby
Channing Tatum,Jupiter Ascending
Jennifer Lawrence,X-Men: Apocalypse
Christian Bale,The Dark Knight
Robert Downey Jr.,Iron Man
Joseph Gordon-Levitt,G.I. Joe: The Rise of Cobra
Scarlett Johansson,The Jungle Book
Robert Downey Jr.,Iron Man 2
Chris Hemsworth,Snow White and the Huntsman
Keanu Reeves,47 Ronin
Scarlett Johansson,Captain America: The Winter Soldier
Leonardo DiCaprio,Inception
Jennifer Lawrence,X-Men: First Class
Jennifer Lawrence,The Hunger Games: Mockingjay - Part 2
Johnny Depp,Alice Through the Looking Glass
Johnny Depp,Charlie and the Chocolate Factory
Christian Bale,Batman Begins
Hugh Jackman,X-Men Origins: Wolverine
Chris Hemsworth,Thor: The Dark World
Tom Hardy,Mad Max: Fury Road
Chris Hemsworth,Thor
Johnny Depp,Dark Shadows
Channing Tatum,White House Down
Hugh Jackman,Flushed Away
Hugh Jackman,Pan
Hugh Jackman,Rise of the Guardians
Christian Bale,Exodus: Gods and Kings
Chris Hemsworth,Star Trek
Channing Tatum,G.I. Joe: Retaliation
Leonardo DiCaprio,The Revenant
Johnny Depp,Rango
Jennifer Lawrence,The Hunger Games: Catching Fire
Johnny Depp,Pirates of the Caribbean: The Curse of the Black Pearl
Jennifer Lawrence,The Hunger Games: Mockingjay - Part 1
Hugh Jackman,X-Men 2
Robert Downey Jr.,Sherlock Holmes: A Game of Shadows
Natalie Portman,Star Wars: Episode III - Revenge of the Sith
Natalie Portman,Star Wars: Episode II - Attack of the Clones
Hugh Jackman,The Wolverine
Natalie Portman,Star Wars: Episode I - The Phantom Menace
Chris Hemsworth,The Huntsman: Winter's War
Leonardo DiCaprio,The Aviator
Hugh Jackman,Real Steel
Scarlett Johansson,The Island
Johnny Depp,Public Enemies
Denzel Washington,American Gangster
Denzel Washington,The Taking of Pelham 1 2 3
Robert De Niro,Little Fockers
Leonardo DiCaprio,Django Unchained
Jason Statham,The Expendables 2
Hugh Jackman,Pan
Johnny Depp,The Tourist
Leonardo DiCaprio,Blood Diamond
Leonardo DiCaprio,The Wolf of Wall Street
Joseph Gordon-Levitt,Treasure Planet
Jason Statham,The Expendables 3
Chris Hemsworth,In the Heart of the Sea
Leonardo DiCaprio,Gangs of New York
Christian Bale,The Flowers of War
Johnny Depp,Transcendence
Denzel Washington,Unstoppable
Leonardo DiCaprio,The Departed
Robert Downey Jr.,Tropic Thunder
Robert Downey Jr.,Sherlock Holmes
Denzel Washington,Safe House
Kristen Stewart,Jumper
Robert Downey Jr.,Zodiac
Jason Statham,The Expendables
Jennifer Lawrence,The Hunger Games
Keanu Reeves,Something's Gotta Give
Leonardo DiCaprio,Shutter Island
Denzel Washington,The Book of Eli
Keanu Reeves,The Day the Earth Stood Still
Denzel Washington,The Manchurian Candidate
Hugh Jackman,Swordfish
Natalie Portman,Mars Attacks!
Robert De Niro,The Adventures of Rocky & Bullwinkle
Hugh Jackman,X-Men
Robert De Niro,Shark Tale
Tom Selleck,Killers
Denzel Washington,The Siege
Channing Tatum,The Dilemma
Jason Statham,Killer Elite
Chris Hemsworth,Blackhat
Robert De Niro,The Score
Leonardo DiCaprio,Body of Lies
Joseph Gordon-Levitt,Lincoln
Keanu Reeves,The Matrix
Hugh Jackman,Les Misérables
Robert Downey Jr.,Due Date
Tom Hardy,This Means War
Jason Statham,Death Race
Kristen Stewart,Zathura: A Space Adventure
Joseph Gordon-Levitt,Sin City: A Dame to Kill For
Robert De Niro,Meet the Fockers
Denzel Washington,2 Guns
Jason Statham,The Italian Job
Scarlett Johansson,The Horse Whisperer
Denzel Washington,Man on Fire
Robert Downey Jr.,The Shaggy Dog
Jennifer Lawrence,Joy
Christian Bale,Reign of Fire
Ryan Gosling,Gangster Squad
Tom Hardy,Star Trek: Nemesis
Robert De Niro,Analyze That
Robert De Niro,Righteous Kill
Robert Downey Jr.,The Soloist
Chris Hemsworth,The Avengers
Scarlett Johansson,The Black Dahlia
Scarlett Johansson,The Spirit
Johnny Depp,Mortdecai
Jason Statham,In the Name of the King: A Dungeon Siege Tale
Keanu Reeves,The Devil's Advocate
Christian Bale,Captain Corelli's Mandolin
Robert De Niro,Meet the Parents
Christian Bale,Pocahontas
Denzel Washington,The Equalizer
Denzel Washington,Crimson Tide
Robert Downey Jr.,Bowfinger
Robert De Niro,Ronin
Keanu Reeves,Chain Reaction
Robert De Niro,The Fan
Christian Bale,Shaft
Johnny Depp,Black Mass
Robert Downey Jr.,Lucky You
Leonardo DiCaprio,Catch Me If You Can
Robert De Niro,Casino
Channing Tatum,22 Jump Street
Johnny Depp,Into the Woods
Denzel Washington,Inside Man
Scarlett Johansson,We Bought a Zoo
Ryan Gosling,"Crazy, Stupid, Love."
Kevin Spacey,Outbreak
Natalie Portman,V for Vendetta
Channing Tatum,The Book of Life
Keanu Reeves,The Replacements
Kevin Spacey,The Negotiator
Robert Downey Jr.,The Judge
Denzel Washington,Out of Time
Leonardo DiCaprio,The Beach
Ryan Gosling,Murder by Numbers
Kevin Spacey,The Life of David Gale
Natalie Portman,Your Highness
Jason Statham,The One
Hugh Jackman,Chappie
Denzel Washington,The Bone Collector
Kristen Stewart,Panic Room
Tom Hardy,Child 44
Kevin Spacey,K-PAX
Hugh Jackman,Kate & Leopold
Christian Bale,3:10 to Yuma
Denzel Washington,Courage Under Fire
Denzel Washington,The Pelican Brief
Hugh Jackman,Prisoners
Denzel Washington,Training Day
Channing Tatum,Coach Carter
Kevin Spacey,A Bug's Life
Johnny Depp,From Hell
Leonardo DiCaprio,Revolutionary Road
Joseph Gordon-Levitt,Miracle at St. Anna
Robert De Niro,Sleepers
Joseph Gordon-Levitt,The Juror
Jason Statham,The Mechanic
Channing Tatum,21 Jump Street
Robert De Niro,15 Minutes
Jennifer Lawrence,American Hustle
Scarlett Johansson,Lucy
Kevin Spacey,A Time to Kill
Keanu Reeves,Bram Stoker's Dracula
Robert De Niro,The Intern
Christian Bale,The Prestige
Kevin Spacey,Horrible Bosses 2
Johnny Depp,Secret Window
Keanu Reeves,The Lake House
Robert Downey Jr.,Gothika
Kevin Spacey,Pay It Forward
Natalie Portman,The Other Boleyn Girl
Keanu Reeves,Sweet November
Robert De Niro,Mean Streets
Robert De Niro,City by the Sea
Robert De Niro,Grudge Match
Joseph Gordon-Levitt,3rd Rock from the Sun            
Denzel Washington,The Hurricane
Johnny Depp,The Ninth Gate
Chris Hemsworth,Rush
Kristen Stewart,Twilight
Denzel Washington,John Q
Kevin Spacey,Horrible Bosses
Robert De Niro,Cape Fear
Kevin Spacey,21
Kevin Spacey,L.A. Confidential
Tom Selleck,In & Out
Johnny Depp,A Nightmare on Elm Street
Leonardo DiCaprio,The Man in the Iron Mask
Denzel Washington,Malcolm X
Johnny Depp,Donnie Brasco
Johnny Depp,From Hell
Natalie Portman,Closer
Leonardo DiCaprio,J. Edgar
Kevin Spacey,Midnight in the Garden of Good and Evil
Robert De Niro,Heist
Robert Downey Jr.,Wonder Boys
Joseph Gordon-Levitt,Premium Rush
Jason Statham,Parker
Kevin Spacey,The Shipping News
Joseph Gordon-Levitt,The Walk
Hugh Jackman,The Fountain
Johnny Depp,The Astronaut's Wife
Keanu Reeves,The Watcher
Jason Statham,Safe
Channing Tatum,This Is the End
Robert De Niro,Men of Honor
Jason Statham,Transporter 2
Leonardo DiCaprio,The Quick and the Dead
Denzel Washington,Flight
Chris Hemsworth,Vacation
Keanu Reeves,Speed
Channing Tatum,The Vow
Ryan Gosling,Remember the Titans
Scarlett Johansson,The SpongeBob SquarePants Movie
Robert De Niro,Analyze This
Ryan Gosling,The Notebook
Joseph Gordon-Levitt,Looper
Johnny Depp,Blow
Johnny Depp,Corpse Bride
Chris Hemsworth,The Cabin in the Woods
Robert De Niro,Midnight Run
Channing Tatum,Side Effects
Denzel Washington,Virtuosity
Scarlett Johansson,Eight Legged Freaks
Christian Bale,The New World
Robert Downey Jr.,In Dreams
Robert De Niro,Godsend
Denzel Washington,Glory
Robert De Niro,Once Upon a Time in America
Channing Tatum,Supercross
Jason Statham,Wild Card
Denzel Washington,Cry Freedom
Johnny Depp,Once Upon a Time in Mexico
Ryan Gosling,The Big Short
Robert De Niro,Last Vegas
Jason Statham,Ghosts of Mars
Scarlett Johansson,The Jungle Book
Robert De Niro,Flawless
Robert De Niro,What Just Happened
Scarlett Johansson,In Good Company
Natalie Portman,Brothers
Robert De Niro,New Year's Eve
Robert De Niro,The Untouchables
Natalie Portman,No Strings Attached
Johnny Depp,Finding Neverland
Robert De Niro,Hide and Seek
Robert De Niro,Goodfellas
Channing Tatum,She's the Man
Hugh Jackman,Eddie the Eagle
Denzel Washington,He Got Game
Johnny Depp,Don Juan DeMarco
Channing Tatum,Dear John
Jason Statham,War
Tom Hardy,Legend
Tom Hardy,Warrior
Joseph Gordon-Levitt,Stop-Loss
Keanu Reeves,Dangerous Liaisons
Kristen Stewart,On the Road
Natalie Portman,Jane Got a Gun
Kevin Spacey,The Men Who Stare at Goats
Kevin Spacey,Beyond the Sea
Robert De Niro,The Bridge of San Luis Rey
Christian Bale,Howl's Moving Castle
Ryan Gosling,The Ides of March
Hugh Jackman,Someone Like You...
Scarlett Johansson,Her
Hugh Jackman,Eddie the Eagle
Natalie Portman,Anywhere But Here
Channing Tatum,Haywire
Leonardo DiCaprio,Marvin's Room
Scarlett Johansson,The Island
Scarlett Johansson,"Hail, Caesar!"
Jason Statham,Homefront
Johnny Depp,The Libertine
Robert De Niro,Stone
Christian Bale,Out of the Furnace
Keanu Reeves,Hardball
Jennifer Lawrence,Silver Linings Playbook
Jason Statham,The Transporter
Jennifer Lawrence,The Beaver
Johnny Depp,Edward Scissorhands
Keanu Reeves,Bill & Ted's Bogus Journey
Jason Statham,The Bank Job
Keanu Reeves,Street Kings
Kristen Stewart,Into the Wild
Robert Downey Jr.,Home for the Holidays
Kristen Stewart,Twilight
Jason Statham,Crank: High Voltage
Robert De Niro,We're No Angels
Robert De Niro,Everybody's Fine
Robert Downey Jr.,A Scanner Darkly
Christian Bale,I'm Not There.
Christian Bale,Equilibrium
Ryan Gosling,All Good Things
Robert De Niro,Hands of Stone
Johnny Depp,Fear and Loathing in Las Vegas
Denzel Washington,Glory
Robert De Niro,Raging Bull
Kristen Stewart,Catch That Kid
Johnny Depp,Ed Wood
Tom Hardy,RocknRolla
Robert De Niro,Red Lights
Robert Downey Jr.,Fur: An Imaginary Portrait of Diane Arbus
Scarlett Johansson,Vicky Cristina Barcelona
Denzel Washington,Philadelphia
Tom Selleck,3 Men and a Baby
Kevin Spacey,American Beauty
Kristen Stewart,The Yellow Handkerchief
Christian Bale,Little Women
Robert De Niro,The Deer Hunter
Robert De Niro,Wag the Dog
Robert De Niro,Cop Land
Natalie Portman,Where the Heart Is
Denzel Washington,The Great Debaters
Ryan Gosling,Drive
Scarlett Johansson,Match Point
Ryan Gosling,The Place Beyond the Pines
Robert De Niro,Brazil
Robert Downey Jr.,Kiss Kiss Bang Bang
Channing Tatum,The Son of No One
Leonardo DiCaprio,Romeo + Juliet
Keanu Reeves,Dangerous Liaisons
Chris Hemsworth,A Perfect Getaway
Robert De Niro,"New York, New York"
Scarlett Johansson,Under the Skin
Natalie Portman,Black Swan
Robert De Niro,The Godfather: Part II
Joseph Gordon-Levitt,10 Things I Hate About You
Natalie Portman,Brothers
Denzel Washington,Antwone Fisher
Kevin Spacey,Glengarry Glen Ross
Ryan Gosling,Lars and the Real Girl
Robert De Niro,Machete
Kevin Spacey,Casino Jack
Channing Tatum,Step Up
Robert De Niro,Jackie Brown
Jason Statham,Crank
Scarlett Johansson,Girl with a Pearl Earring
Robert Downey Jr.,Charlie Bartlett
Jason Statham,Snatch
Robert De Niro,Dirty Grandpa
Christian Bale,The Fighter
Johnny Depp,What's Eating Gilbert Grape
Kristen Stewart,In the Land of Women
Keanu Reeves,Bill & Ted's Excellent Adventure
Jason Statham,Snatch
Denzel Washington,Mo' Better Blues
Hugh Jackman,Movie 43
Johnny Depp,The Tourist
Christian Bale,Rescue Dawn
Natalie Portman,My Blueberry Nights
Kristen Stewart,Welcome to the Rileys
Kristen Stewart,Adventureland
Robert Downey Jr.,Richard III
Kristen Stewart,The Runaways
Christian Bale,Velvet Goldmine
Robert De Niro,Heist
Joseph Gordon-Levitt,50/50
Keanu Reeves,Much Ado About Nothing
Christian Bale,American Psycho
Robert Downey Jr.,The Singing Detective
Tom Hardy,Wuthering Heights            
Keanu Reeves,The Neon Demon
Joseph Gordon-Levitt,500 Days of Summer
Channing Tatum,Magic Mike
Leonardo DiCaprio,The Great Gatsby
Robert Downey Jr.,"Good Night, and Good Luck."
Joseph Gordon-Levitt,Hesher
Chris Hemsworth,Ca$h
Jennifer Lawrence,House at the End of the Street
Tom Hardy,Layer Cake
Johnny Depp,Platoon
Kevin Spacey,The Usual Suspects
Joseph Gordon-Levitt,Don Jon
Scarlett Johansson,Ghost World
Johnny Depp,Freddy's Dead: The Final Nightmare
Kristen Stewart,Still Alice
Kevin Spacey,Moon
Christian Bale,The Machinist
Johnny Depp,Yoga Hosers
Ryan Gosling,Only God Forgives
Jason Statham,Mean Machine
Hugh Jackman,Pan
Scarlett Johansson,Lost in Translation
Christian Bale,Exodus: Gods and Kings
Scarlett Johansson,Scoop
Keanu Reeves,The Last Time I Committed Suicide
Kevin Spacey,Margin Call
Johnny Depp,Tusk
Johnny Depp,Alice in Wonderland
Johnny Depp,The Astronaut's Wife
Keanu Reeves,My Own Private Idaho
Jennifer Lawrence,Winter's Bone
Jason Statham,London
Keanu Reeves,River's Edge
Johnny Depp,A Nightmare on Elm Street
Ryan Gosling,The Believer
Jason Statham,"Lock, Stock and Two Smoking Barrels"
Keanu Reeves,The Day the Earth Stood Still
Robert De Niro,Taxi Driver
Ryan Gosling,Blue Valentine
Robert Downey Jr.,Two Girls and a Guy
Jennifer Lawrence,The Poker House
Joseph Gordon-Levitt,Latter Days
Ryan Gosling,Half Nelson
Ryan Gosling,The Slaughter Rule
Jennifer Lawrence,Like Crazy
Tom Hardy,Bronson
Channing Tatum,Side Effects
Christian Bale,The Dark Knight Rises
Robert Downey Jr.,Avengers: Age of Ultron
Robert Downey Jr.,The Avengers
Scarlett Johansson,Captain America: Civil War
Scarlett Johansson,Iron Man 2
Kristen Stewart,Snow White and the Huntsman
Tom Hardy,Inception
Natalie Portman,Thor: The Dark World
Natalie Portman,Thor
Kristen Stewart,The Twilight Saga: Breaking Dawn - Part 2
Tom Hardy,The Revenant
Kristen Stewart,The Twilight Saga: Breaking Dawn - Part 2
Christian Bale,Public Enemies
Hugh Jackman,Happy Feet
Natalie Portman,Cold Mountain
Robert De Niro,Killer Elite
Kristen Stewart,The Twilight Saga: Eclipse
Robert De Niro,Joy
Robert Downey Jr.,The Avengers
Kristen Stewart,The Twilight Saga: New Moon
Christian Bale,American Hustle
Hugh Jackman,The Prestige
Scarlett Johansson,The Other Boleyn Girl
Robert De Niro,The Big Wedding
Denzel Washington,Remember the Titans
Christian Bale,The Big Short
Channing Tatum,Stop-Loss
Robert De Niro,Marvin's Room
Channing Tatum,"Hail, Caesar!"
Robert De Niro,Silver Linings Playbook
Tom Selleck,Quigley Down Under
Keanu Reeves,A Scanner Darkly
Channing Tatum,Magic Mike XXL
Leonardo DiCaprio,What's Eating Gilbert Grape
Denzel Washington,Much Ado About Nothing
Natalie Portman,Hesher
Scarlett Johansson,Don Jon
Christian Bale,Harsh Times